Model Name,Description,Linguistic_score,Train Loss,Val Loss,Epochs
base_RNN,Base RNN model,25,2.363710880279541,3.22929048538208,16
base_RNN,Base Augmented RNN model,19,0.4744466245174408,0.4322152137756347,60
base_RNN,Base Character RNN model,15,1.0399818420410156,0.9863826632499696,50
lstm,LSTM model,31,1.6287306547164917,1.56507408618927,50
gru,GRU model,38,0.4979993104934692,0.4685347974300384,50
gru,GRU augmented model,24,0.5542817711830139,0.5018668174743652,40
bi-gru,Bi-GRU augmented model,24,0.6021840572357178,0.5490190386772156,50
model_1,Transformer augmented model,44,0.3775052428245544,0.3722404837608337,20
